component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:33.187Z,E,23.1,15.88,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:34.193Z,E,23.11,15.87,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:35.203Z,E,23.1,15.88,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:36.208Z,E,23.11,15.84,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:37.215Z,E,23.08,15.87,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:38.223Z,E,23.1,15.84,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:39.230Z,E,23.1,15.85,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:40.235Z,E,23.1,15.79,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:41.242Z,E,23.09,15.81,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:42.299Z,E,23.09,15.82,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:43.306Z,E,23.1,15.78,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:44.312Z,E,23.08,15.76,End
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:45.318Z,E,23.09,15.72,End
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:46.332Z,E,23.11,15.75,End
