component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:32.158Z,E,23.02,16.48,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:33.167Z,E,23.01,16.44,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:34.175Z,E,23.02,16.48,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:35.183Z,E,23.0,16.45,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:36.188Z,E,23.02,16.44,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:37.194Z,E,23.01,16.39,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:38.250Z,E,23.02,16.41,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:39.259Z,E,23.01,16.39,End
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:40.264Z,E,23.01,16.36,End
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:47:41.271Z,E,23.01,16.39,End
